din,drug_name,generic_name,drug_class,common_indication,typical_dosage,route,schedule
02717542,metformin,metformin,Biguanide,Type 2 diabetes,500mg,oral,Prescription
02647786,lisinopril,lisinopril,ACE inhibitor,Hypertension,5mg,oral,Prescription
02717447,atorvastatin,atorvastatin,Statin,Hyperlipidemia,10mg,oral,Prescription
02345205,levothyroxine,levothyroxine,Thyroid hormone,Hypothyroidism,25mcg,oral,Prescription
02964307,amlodipine,amlodipine,Calcium channel blocker,Hypertension,5mg,oral,Prescription
02195105,omeprazole,omeprazole,Proton pump inhibitor,GERD,20mg,oral,OTC
02942168,salbutamol,salbutamol,Short-acting beta-agonist,Asthma,100mcg/puff,inhaled,Prescription
02341585,rosuvastatin,rosuvastatin,Statin,Hyperlipidemia,5mg,oral,Prescription
02347018,ramipril,ramipril,ACE inhibitor,Hypertension,2.5mg,oral,Prescription
02821256,pantoprazole,pantoprazole,Proton pump inhibitor,GERD,20mg,oral,Prescription
02453786,metoprolol,metoprolol,Beta blocker,Hypertension,25mg,oral,Prescription
02036584,hydrochlorothiazide,hydrochlorothiazide,Thiazide diuretic,Hypertension,12.5mg,oral,Prescription
02818461,sertraline,sertraline,SSRI antidepressant,Depression,25mg,oral,Prescription
02854562,escitalopram,escitalopram,SSRI antidepressant,"Depression, anxiety",5mg,oral,Prescription
02405413,gabapentin,gabapentin,Anticonvulsant,"Neuropathic pain, epilepsy",100mg,oral,Prescription
02273375,amoxicillin,amoxicillin,Penicillin antibiotic,Bacterial infections,250mg,oral,Prescription
02898243,azithromycin,azithromycin,Macrolide antibiotic,Bacterial infections,250mg,oral,Prescription
02759598,prednisone,prednisone,Corticosteroid,Inflammation,5mg,oral,Prescription
02004916,acetaminophen,acetaminophen,Analgesic/antipyretic,"Pain, fever",325mg,oral,OTC
02559698,ibuprofen,ibuprofen,NSAID,"Pain, inflammation",200mg,oral,OTC
02494267,warfarin,warfarin,Vitamin K antagonist,Anticoagulation,1mg,oral,Prescription
02410333,insulin glargine,insulin glargine,Long-acting insulin,Diabetes,10 units,subcutaneous,Prescription
02730928,sitagliptin,sitagliptin,DPP-4 inhibitor,Type 2 diabetes,25mg,oral,Prescription
02661098,clopidogrel,clopidogrel,Antiplatelet,Cardiovascular prevention,75mg,oral,Prescription
02105093,furosemide,furosemide,Loop diuretic,"Edema, heart failure",20mg,oral,Prescription
02927411,cephalexin,cephalexin,Cephalosporin antibiotic,Bacterial infections,500mg QID,oral,Prescription
02014242,ciprofloxacin,ciprofloxacin,Fluoroquinolone antibiotic,Bacterial infections,500mg BID,oral,Prescription
02664827,doxycycline,doxycycline,Tetracycline antibiotic,Bacterial infections,100mg BID,oral,Prescription
02951817,fluconazole,fluconazole,Antifungal,Fungal infections,150mg once,oral,Prescription
02037897,clindamycin,clindamycin,Lincosamide antibiotic,Bacterial infections,300mg QID,oral,Prescription
02511748,diclofenac,diclofenac,NSAID,"Pain, inflammation",50mg TID,oral,Prescription
02011941,naproxen,naproxen,NSAID,"Pain, inflammation",250mg BID,oral,OTC
02946957,celecoxib,celecoxib,COX-2 inhibitor,"Pain, arthritis",200mg daily,oral,Prescription
02934870,morphine,morphine sulfate,Opioid analgesic,Severe pain,15mg Q4H,oral,Controlled
02454714,hydromorphone,hydromorphone,Opioid analgesic,Severe pain,2mg Q4H,oral,Controlled
02196977,oxycodone,oxycodone,Opioid analgesic,Moderate-severe pain,5mg Q6H,oral,Controlled
02516613,codeine,codeine phosphate,Opioid analgesic,Mild-moderate pain,30mg Q4H,oral,Controlled
02878702,tramadol,tramadol,Opioid analgesic,Moderate pain,50mg Q6H,oral,Prescription
02002879,duloxetine,duloxetine,SNRI antidepressant,"Depression, neuropathic pain",60mg daily,oral,Prescription
02753489,venlafaxine,venlafaxine,SNRI antidepressant,"Depression, anxiety",75mg daily,oral,Prescription
02777598,fluoxetine,fluoxetine,SSRI antidepressant,"Depression, OCD",20mg daily,oral,Prescription
02924241,paroxetine,paroxetine,SSRI antidepressant,"Depression, anxiety",20mg daily,oral,Prescription
02114488,citalopram,citalopram,SSRI antidepressant,Depression,20mg daily,oral,Prescription
02298925,mirtazapine,mirtazapine,Tetracyclic antidepressant,Depression,15mg at bedtime,oral,Prescription
